DB,,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE,YALE
Indicator,,Cyclically Adjusted PE Ratio,Percent change in CPI,Percent change in Earnings,Percent change in Long Interest Rate,Percent change in S&P Composite,CPI,Dividend,Earnings,Future Percent change in S&P Composite,Long Interest Rate,Real Dividend,Real Earnings,Real Price,S&P Composite
Date,S&P500,,,,,,,,,,,,,,
1872-01-01,S&P Composite,,,,,,,,,,,,,,
1873-01-01,S&P Composite,,,,,,12.65439174,0.26,0.4,6.962025316455697,5.3566666666667,4.8850246041142,7.515422467868099,89.057756244237,4.74
1874-01-01,S&P Composite,,2.2554609961837673,7.499999999999993,3.8270068450528543,6.962025316455697,12.93980661,0.3,0.43,-12.820512820512828,5.561666666666699,5.5122404182515,7.9008779328272,93.15686306845,5.07
1875-01-01,S&P Composite,,-5.882316119096923,6.976744186046519,-1.4833682948756204,-12.820512820512828,12.17864628,0.33,0.46,2.714932126696835,5.4791666666667,6.442428468330599,8.9803548346426,86.289496454609,4.42
1876-01-01,S&P Composite,,-5.468547363048961,0.0,-6.8593155893547895,2.714932126696835,11.51265124,0.33,0.46,-3.744493392070483,5.1033333333333,6.8151163328386986,9.4998591306237,93.759479245721,4.54
1877-01-01,S&P Composite,,-4.958985798305139,-21.739130434782613,-9.2749836708028,-3.744493392070483,10.9417405,0.3,0.36,-18.07780320366133,4.63,6.5188280603072,7.8225936723687015,94.95759541180901,4.37
1878-01-01,S&P Composite,,-1.7387507042412542,-22.222222222222214,-3.6357091432677833,-18.07780320366133,10.75149091,0.3,0.28,-9.217877094972069,4.4616666666667015,6.6341799102168,6.1919012495356,79.16788026191999,3.58
1879-01-01,S&P Composite,,-11.504504783141742,7.142857142857128,-2.5214792678371474,-9.217877094972069,9.514585124,0.19,0.3,6.153846153846159,4.3491666666667,4.747865714717402,7.496630075869598,81.213492488587,3.25
1880-01-01,S&P Composite,,-14.000306441527613,3.3333333333333366,-2.7399885035454745,6.153846153846159,8.18251405,0.18,0.31,42.60869565217391,4.23,5.2302256664014015,9.007610869913501,100.24599193936,3.45
1881-01-01,S&P Composite,,18.604559084136252,22.580645161290324,-4.570527974782517,42.60869565217391,9.704834711,0.2,0.38,18.69918699186992,4.0366666666667,4.8997794827049015,9.309581017139301,120.53457527454,4.92
1882-01-01,S&P Composite,,-1.960358858913494,28.947368421052627,-7.679603633360797,18.69918699186992,9.514585124,0.26,0.49,2.910958904109588,3.7266666666667,6.497079399087,12.244495790587,145.93439881026,5.84
1883-01-01,S&P Composite,15.958754206105,6.999727653075132,-10.20408163265306,-2.683363148479406,2.910958904109588,10.18058017,0.32,0.44,-2.828618968386022,3.6266666666667,7.4732951098601,10.275780776058001,140.35782378206002,6.01
1884-01-01,S&P Composite,15.382128332081999,-1.8687499908956622,-2.2727272727272747,0.0689338235294219,-2.828618968386022,9.990330579,0.32,0.43,-8.561643835616438,3.6291666666667,7.6156118557206,10.233478431124,138.9849163669,5.84
1885-01-01,S&P Composite,14.896403941887,-7.619781117154964,-6.9767441860465045,-0.229621125145358,-8.561643835616438,9.229089256,0.33,0.4,-18.726591760299627,3.6208333333333,8.501386791659,10.304711262617001,137.56789535594,5.34
1886-01-01,S&P Composite,13.432292746945,-10.30881694400637,-22.500000000000007,-2.554660529344092,-18.726591760299627,8.277679339,0.31,0.31,19.815668202764986,3.5283333333333,8.904053839430803,8.904053839430803,124.65675375202999,4.34
1887-01-01,S&P Composite,16.304475952279,-1.149661458274091,-12.903225806451607,-4.13320736891738,19.815668202764986,8.18251405,0.24,0.27,8.461538461538453,3.3825,6.973634221868499,7.8453384996021,151.09540814048,5.2
1888-01-01,S&P Composite,18.194057556886,-4.651040800840423,22.22222222222222,3.6954915003695494,8.461538461538453,7.801941983,0.22,0.33,-6.560283687943265,3.5075,6.704318631691098,10.056477947537001,171.87435037608003,5.64
1889-01-01,S&P Composite,15.455513454470001,6.09767871943429,9.090909090909081,4.2765502494654415,-6.560283687943265,8.277679339,0.25,0.36,-2.4667931688804536,3.6575,7.1806885801861,10.340191555468,151.36891527032,5.27
1890-01-01,S&P Composite,14.946748301089,0.0,-27.777777777777775,-5.172020961495563,-2.4667931688804536,8.277679339,0.23,0.26,3.5019455252918408,3.4683333333333,6.6062334937712,7.4679161233936,147.63495720863,5.14
1891-01-01,S&P Composite,16.610338076603,-5.747231035618649,15.384615384615378,-1.3214800576636385,3.5019455252918408,7.801941983,0.22,0.3,-13.533834586466176,3.4225,6.704318631691098,9.1422526795788,162.12261418453002,5.32
1892-01-01,S&P Composite,14.442991231338,1.2195565053844721,-3.3333333333333366,5.283662040417832,-13.533834586466176,7.897091073999999,0.22,0.29,17.608695652173925,3.6033333333333,6.6235408088697,8.731031066237401,138.49221691273002,4.6
1893-01-01,S&P Composite,18.206303000210003,-4.81934753485405,17.241379310344847,-0.04625346900832244,17.608695652173925,7.51650281,0.22,0.34,1.8484288354898273,3.6016666666667003,6.9589151128116,10.754686992527,171.1260489105,5.41
1894-01-01,S&P Composite,18.013009251276,1.2658691602351664,8.823529411764696,3.771402128643172,1.8484288354898273,7.611651901,0.24,0.37,-19.963702359346634,3.7375,7.4966460292939985,11.557329295162,172.11049842254,5.51
1895-01-01,S&P Composite,15.612694335465,-7.500058521133908,-29.729729729729726,-0.8918617614260608,-19.963702359346634,7.0407735539999985,0.25,0.26,-2.4943310657596443,3.704166666666701,8.4421742929413,8.779861264658999,148.91995452748998,4.41
1896-01-01,S&P Composite,16.672466333768,-6.75666037760484,-38.46153846153847,-6.051743532059358,-2.4943310657596443,6.5650523970000005,0.21,0.16,0.4651162790697782,3.48,7.6052900237043,5.7945066847271,155.72736715204,4.3
1897-01-01,S&P Composite,16.548415156668,2.898531047321936,56.25,3.1130268199224163,0.4651162790697782,6.7553424789999985,0.19,0.25,-2.314814814814827,3.5883333333333,6.6871476376557,8.7988784705996,152.04461997196,4.32
1898-01-01,S&P Composite,16.50140418059,-1.408501364598229,-16.000000000000004,-4.78402229447101,-2.314814814814827,6.660193388,0.18,0.21,12.559241706161146,3.4166666666667003,6.425698550601901,7.496648309035598,150.64693268633002,4.22
1899-01-01,S&P Composite,18.748757662526,0.0,47.61904761904762,-1.8292682926829087,12.559241706161146,6.660193388,0.18,0.31,18.947368421052637,3.3541666666667003,6.425698550601901,11.066480837148,169.56704508533002,4.75
1900-01-01,S&P Composite,21.403631985448,1.4286235467491624,12.903225806451607,-6.956521739132366,18.947368421052637,6.7553424789999985,0.2,0.35,6.548672566371668,3.1208333333333,7.0391027764797,12.318429858839,198.85465343555,5.65
1901-01-01,S&P Composite,18.5126496436,16.901416894099714,37.142857142857146,0.801068090787737,6.548672566371668,7.897091073999999,0.21,0.48,14.119601328903663,3.1458333333333,6.322470772102902,14.451361764807,181.24416213362,6.02
1902-01-01,S&P Composite,20.744051160871,-3.6144850087871556,0.0,-1.32450331125617,14.119601328903663,7.611651901,0.3,0.48,15.72052401746725,3.1041666666667003,9.3708075366175,14.993292058587999,214.59149258854,6.87
1903-01-01,S&P Composite,21.68021514103,4.999968074604169,4.1666666666666705,2.228187919460908,15.72052401746725,7.9922320660000015,0.32,0.5,1.2578616352201324,3.1733333333333,9.5195534078227,14.874302199723001,236.50140497559,7.95
1904-01-01,S&P Composite,19.633232126824,7.142712377290946,26.0,3.676470588236383,1.2578616352201324,8.563094215,0.33,0.63,-18.385093167701864,3.29,9.1625825350095,17.492203021382,223.51148305099,8.05
1905-01-01,S&P Composite,16.042894140050002,-5.555387410857752,-15.87301587301587,3.090172239109432,-18.385093167701864,8.087381157000001,0.35,0.53,25.570776255707756,3.3916666666667004,10.289512870055999,15.581262346085,193.14885587505,6.57
1906-01-01,S&P Composite,18.159679118703,4.705451141876972,-7.547169811320761,2.407862407860404,25.570776255707756,8.467928926,0.31,0.49,15.636363636363626,3.4733333333333,8.7040058016661,13.757944654245998,231.6388640766,8.25
