Date,Country,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Dealer Longs,Dealer Shorts,Dealer Spreads,"Largest 4 Longs, Gross","Largest 4 Longs, Net","Largest 4 Shorts, Gross","Largest 4 Shorts, Net","Largest 8 Longs, Gross","Largest 8 Longs, Net","Largest 8 Shorts, Gross","Largest 8 Shorts, Net",Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Non Reportable Longs,Non Reportable Shorts,Open Interest,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts
2011-01-01,Switzerland,1030.0,1121.0,96.0,16316.0,7614.0,913.0,,,,,,,,,9851.0,16725.0,1444.0,10411.0,12824.0,40737.0,675.0,0.0,0.0,30326.0,27913.0
2009-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,Australia,626.0,6471.0,1266.0,8682.0,10437.0,3946.0,,,,,,,,,6494.0,4053.0,1963.0,14863.0,9988.0,39839.0,1984.0,1700.0,15.0,24975.0,29851.0
2014-01-01,Canada,22117.0,18965.0,1427.0,4393.0,92285.0,3956.0,,,,,,,,,62149.0,6561.0,4794.0,39758.0,16880.0,147048.0,7662.0,1388.0,791.0,107290.0,130168.0
2012-01-01,Switzerland,1493.0,1377.0,373.0,3219.0,24803.0,1084.0,,,,,,,,,21406.0,9169.0,1254.0,20143.0,9311.0,49371.0,400.0,2000.0,0.0,29228.0,40060.0
2015-01-01,Japan,22635.0,21456.0,5538.0,125878.0,10238.0,13918.0,,,,,,,,,42024.0,125253.0,25010.0,16256.0,58251.0,281807.0,26525.0,18120.0,4023.0,265551.0,223556.0
2010-01-01,Russia,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,Japan,65557.0,11276.0,1588.0,230.0,57504.0,3854.0,,,,,,,,,48485.0,32918.0,2566.0,16465.0,27773.0,140060.0,1310.0,2578.0,4.0,123594.0,112287.0
2013-01-01,New Zealand,0.0,169.0,0.0,2890.0,1836.0,225.0,,,,,,,,,4956.0,5012.0,0.0,1845.0,2439.0,10181.0,265.0,500.0,0.0,8336.0,7742.0
2013-01-01,Switzerland,1059.0,856.0,265.0,11399.0,1082.0,747.0,,,,,,,,,15163.0,15034.0,1419.0,7672.0,18859.0,38261.0,537.0,0.0,0.0,30589.0,19402.0
2007-01-01,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,Russia,0.0,0.0,0.0,7641.0,12230.0,3189.0,,,,,,,,,1721.0,2034.0,489.0,4308.0,203.0,18265.0,797.0,0.0,120.0,13957.0,18062.0
2008-01-01,Russia,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,Australia,2719.0,44097.0,1059.0,22620.0,18229.0,4947.0,,,,,,,,,56763.0,27962.0,3868.0,19649.0,17470.0,118806.0,6624.0,616.0,557.0,99157.0,101336.0
2011-01-01,United States,0.0,990.0,1422.0,36248.0,22616.0,3404.0,,,,,,,,,12353.0,29856.0,2628.0,4692.0,2613.0,64714.0,3965.0,1183.0,1.0,60022.0,62100.0
2015-01-01,Canada,13176.0,16636.0,788.0,84378.0,864.0,7588.0,,,,,,,,,17160.0,85039.0,8802.0,25060.0,40801.0,166342.0,6410.0,2844.0,2980.0,141282.0,125541.0
2009-01-01,Switzerland,5817.0,450.0,66.0,22289.0,28585.0,2716.0,,,,,,,,,14546.0,23817.0,2454.0,17797.0,9336.0,67423.0,1738.0,0.0,0.0,49626.0,58087.0
