Date,S&P500,CPI,Cyclically Adjusted PE Ratio,Dividend,Earnings,Future Percent change in S&P Composite,Long Interest Rate,Percent change in CPI,Percent change in Earnings,Percent change in Long Interest Rate,Percent change in S&P Composite,Real Dividend,Real Earnings,Real Price,S&P Composite
1919-01-01,S&P Composite,13.7,6.4125938981198,0.69,1.28,16.176470588235304,4.5416666666667,18.103448275862068,-16.33986928104575,7.750098853302491,-30.61224489795919,11.97466040146,22.213862773723,118.0111459854,6.8
1955-01-01,S&P Composite,26.9,11.754449184027,1.45,2.51,40.83769633507854,2.59,0.7490636704119823,4.583333333333329,-8.074534161490684,-4.646697388632877,12.815938197026,22.184830947955,219.46189340149,24.83
1993-01-01,S&P Composite,137.9,18.442294943827,12.2,15.97,12.130961880003088,7.09,3.064275037369203,-25.16401124648547,-12.252475247524755,18.177946768060835,21.034405728789,27.534381925307997,669.8423745649,388.51
1889-01-01,S&P Composite,8.277679339,15.455513454470001,0.25,0.36,-2.4667931688804536,3.6575,6.09767871943429,9.090909090909081,4.2765502494654415,-6.560283687943265,7.1806885801861,10.340191555468,151.36891527032,5.27
1878-01-01,S&P Composite,10.75149091,,0.3,0.28,-9.217877094972069,4.4616666666667015,-1.7387507042412542,-22.222222222222214,-3.6357091432677833,-18.07780320366133,6.6341799102168,6.1919012495356,79.16788026191999,3.58
1939-01-01,S&P Composite,14.4,13.008483033706,0.8,1.13,15.154264972776769,2.57,2.85714285714286,10.784313725490184,-4.014939309056969,-35.40445486518171,13.208763888889,18.657378993056,181.95072256944,11.02
1977-01-01,S&P Composite,55.5,10.250368416257,3.68,7.96,18.038331454340472,8.0,6.936416184971102,-10.461192350956136,7.671601615074028,32.249888176532,15.764838198198,34.10003045045,379.98400765766,88.7
1901-01-01,S&P Composite,7.897091073999999,18.5126496436,0.21,0.48,14.119601328903663,3.1458333333333,16.901416894099714,37.142857142857146,0.801068090787737,6.548672566371668,6.322470772102902,14.451361764807,181.24416213362,6.02
1927-01-01,S&P Composite,17.9,11.147365239137,0.6,1.25,8.266452648475115,3.695,3.468208092485537,34.408602150537625,-4.686156491832289,22.63779527559056,7.9695335195531,16.603194832402,165.50064608939,12.46
1948-01-01,S&P Composite,21.5,11.372779425863,0.71,1.06,-0.6609385327164667,2.245,18.13186813186814,10.416666666666677,1.8140589569161012,-12.694748990190408,7.851535,11.72201,167.31510500000005,15.13
2007-01-01,S&P Composite,196.8,26.434798843415,22.22,69.93,12.229908008272137,4.47,3.415659485023647,19.436379163108473,5.67375886524821,5.241784174581591,26.844396366870004,84.483737080793,1524.7303025534,1262.07
1947-01-01,S&P Composite,18.2,15.02034747474,0.66,0.96,-12.694748990190408,2.205,2.2471910112359472,3.225806451612894,-7.3204903677771345,32.290076335877856,8.6219843406593,12.541068131868,226.39240700548999,17.33
1898-01-01,S&P Composite,6.660193388,16.50140418059,0.18,0.21,12.559241706161146,3.4166666666667003,-1.408501364598229,-16.000000000000004,-4.78402229447101,-2.314814814814827,6.425698550601901,7.496648309035598,150.64693268633002,4.22
1964-01-01,S&P Composite,30.4,18.58583611844,2.13,3.67,18.406768837803323,3.86,1.3333333333333286,15.047021943573668,-4.92610837438423,-12.68469473097295,16.658684457237,28.702991529604997,489.90610065789,62.64
1928-01-01,S&P Composite,17.7,13.009052728993002,0.69,1.24,29.42920681986657,3.3683333333333,-1.117318435754186,-0.8000000000000007,-8.840775823185385,8.266452648475115,9.2685224576271,16.656475141243,181.20633036723,13.49
1957-01-01,S&P Composite,26.8,18.942369035814,1.64,3.62,2.358386599074279,2.96,0.37453183520599787,30.68592057761733,17.92828685258965,29.73977695167286,14.549354850745999,32.115039365672004,402.50257901118994,45.37
2014-01-01,S&P Composite,229.601,21.234544416672,31.25,86.51,27.103473975068376,1.72,1.7410223687475639,-0.5060379528464608,-13.131313131313133,14.39452433806261,32.360179997038,89.583333489401,1472.8179330556,1422.29
1989-01-01,S&P Composite,115.4,13.389028514426998,8.81,17.5,14.730290456431536,8.99,4.434389140271498,20.856353591160218,26.44163150492264,-3.057119871279161,18.151176581456,36.055118067590996,496.53048310225,241.0
1884-01-01,S&P Composite,9.990330579,15.382128332081999,0.32,0.43,-8.561643835616438,3.6291666666667,-1.8687499908956622,-2.2727272727272747,0.0689338235294219,-2.828618968386022,7.6156118557206,10.233478431124,138.9849163669,5.84
1922-01-01,S&P Composite,19.4,4.7842410450832,0.51,0.8,7.342143906020558,5.08,2.6455026455026456,-13.978494623655912,3.025181679906086,-23.654708520179376,6.250332603092801,9.8044432989691,83.460323582474,6.81
1908-01-01,S&P Composite,8.94367438,17.660003667769,0.4,0.76,-33.231707317073166,3.65,5.618203201248719,13.432835820895516,6.284882310117858,3.144654088050322,10.633560207947001,20.203764395099,261.58558111549,9.84
1949-01-01,S&P Composite,23.4,10.680912531969,0.84,1.61,1.0645375914837003,2.4241666666667,8.837209302325574,51.886792452830186,7.980697847069042,-0.6609385327164667,8.5348935897436,16.358546047009,152.71363173077,15.03
1960-01-01,S&P Composite,28.9,17.35835736537,1.75,2.89,10.413161338567956,3.86,1.7605633802816902,-14.243323442136496,20.24922118380062,32.63079593354824,14.397095588234999,23.775775,440.05751029412005,53.49
1991-01-01,S&P Composite,126.1,17.650134972666,11.05,22.9,-5.69420539300058,7.84,4.64730290456431,-3.6195286195286323,-13.940724478594946,26.07594936708861,20.834442010309,43.177259912768,657.27479500397,348.6
