Date,Country,Composite Leading Index
2014-01-01,Czech Republic,97.77307
1984-01-01,United Kingdom,99.72207
2005-01-01,Luxembourg,100.2728
1990-01-01,Austria,100.5561
2006-01-01,Korea,100.0936
1957-01-01,Brazil,
1976-01-01,New Zealand,
1968-01-01,Turkey,
1992-01-01,Germany,100.877
1957-01-01,Canada,
1983-01-01,Slovenia,
2005-01-01,Brazil,100.8962
2010-01-01,Norway,96.86172
1992-01-01,Russia,
1988-01-01,Switzerland,99.54168
2014-01-01,Mexico,100.6576
1983-01-01,United States,97.24919
1978-01-01,Israel,
2008-01-01,Japan,101.4225
1960-01-01,Poland,
1964-01-01,Mexico,
1956-01-01,Japan,
1966-01-01,Japan,98.38552
1977-01-01,People's Republic of China.: Mainland,
1959-01-01,People's Republic of China.: Mainland,
1995-01-01,Netherlands,99.32451
2008-01-01,People's Republic of China.: Mainland,101.7515
1967-01-01,Switzerland,
1966-01-01,Slovenia,
1979-01-01,Australia,99.30527
1956-01-01,France,
1959-01-01,Spain,
1990-01-01,Netherlands,100.4293
1995-01-01,Slovak Republic,98.50772
1984-01-01,Slovenia,
1962-01-01,United Kingdom,100.329
1970-01-01,Spain,
2001-01-01,Norway,100.159
1964-01-01,Czech Republic,
2006-01-01,Chile,101.6232
1987-01-01,Norway,102.0522
1956-01-01,Canada,
1997-01-01,Israel,100.866
1999-01-01,Turkey,101.9356
1973-01-01,New Zealand,
1975-01-01,Brazil,
1978-01-01,Portugal,
2004-01-01,Denmark,98.8036
2008-01-01,Russia,103.7537
2001-01-01,Italy,100.5888
1987-01-01,Netherlands,100.6601
1961-01-01,Poland,
1974-01-01,Israel,
2008-01-01,India,100.0064
1973-01-01,Turkey,
1979-01-01,Russia,
2004-01-01,People's Republic of China.: Mainland,100.5546
1979-01-01,Austria,98.9975
1969-01-01,Israel,
1993-01-01,United States,99.07301
1985-01-01,Greece,100.0481
2009-01-01,Switzerland,101.2521
1998-01-01,Turkey,101.5582
1958-01-01,United States,100.5825
1982-01-01,Sweden,98.55956
2010-01-01,Brazil,96.1221
2000-01-01,Norway,98.21483
1984-01-01,Greece,99.32843
1960-01-01,Switzerland,
1991-01-01,Luxembourg,101.1042
1977-01-01,Netherlands,99.16506
1960-01-01,Netherlands,
1956-01-01,Finland,
1962-01-01,Czech Republic,
2015-01-01,Denmark,100.4108
1988-01-01,Poland,
1963-01-01,Slovenia,
1992-01-01,Indonesia,
1985-01-01,Netherlands,100.8086
1970-01-01,France,
2007-01-01,Australia,99.97016
1979-01-01,Luxembourg,
2015-01-01,People's Republic of China.: Mainland,100.799
2004-01-01,Canada,99.34799
2004-01-01,Italy,99.55264
1961-01-01,Israel,
1967-01-01,Poland,
1984-01-01,Hungary,
1982-01-01,Hungary,
2003-01-01,Poland,97.33779
1970-01-01,Finland,
1982-01-01,Ireland,101.5829
1975-01-01,Poland,
1981-01-01,South Africa,101.7992
2011-01-01,Sweden,98.21606
1963-01-01,Mexico,
2006-01-01,Estonia,100.0909
2014-01-01,Sweden,99.02731
1977-01-01,Ireland,
1991-01-01,United Kingdom,99.818
1980-01-01,Slovak Republic,
1974-01-01,Russia,
1966-01-01,Luxembourg,
1974-01-01,Sweden,101.2007
1982-01-01,Chile,
2006-01-01,Belgium,100.029
2010-01-01,Spain,98.6882
1967-01-01,Canada,100.7974
1968-01-01,France,
1991-01-01,Portugal,101.1645
1996-01-01,Finland,103.4512
1998-01-01,United Kingdom,100.4826
1970-01-01,Brazil,
2004-01-01,Austria,99.53838
1959-01-01,Russia,
2003-01-01,Portugal,99.21356
1961-01-01,Germany,
1967-01-01,Hungary,
2006-01-01,Mexico,99.90019
1972-01-01,New Zealand,
2004-01-01,Israel,97.18053
1961-01-01,France,
1988-01-01,Brazil,
2000-01-01,Italy,99.73549
1969-01-01,Turkey,
2014-01-01,Hungary,100.2409
1989-01-01,Mexico,98.98984
1985-01-01,People's Republic of China.: Mainland,
1981-01-01,Greece,101.0567
1995-01-01,Turkey,98.21213
1969-01-01,Brazil,
1988-01-01,United States,99.88953
2012-01-01,Japan,100.1735
2015-01-01,Belgium,100.5834
1981-01-01,New Zealand,
2006-01-01,Czech Republic,100.1183
1958-01-01,Slovak Republic,
2014-01-01,Chile,99.97915
1972-01-01,Denmark,98.51292
1997-01-01,South Africa,101.1716
1996-01-01,Brazil,101.3493
1976-01-01,Mexico,
2000-01-01,Japan,97.87326
1987-01-01,Spain,98.0228
1965-01-01,Sweden,
2015-01-01,Austria,100.6063
1971-01-01,Mexico,
2012-01-01,Turkey,101.909
1972-01-01,People's Republic of China.: Mainland,
1995-01-01,Japan,98.83311
1958-01-01,Ireland,
2010-01-01,Chile,93.18547
1982-01-01,Czech Republic,
2015-01-01,Israel,99.82294
2007-01-01,France,100.1952
2013-01-01,Turkey,100.8876
1961-01-01,Turkey,
1974-01-01,Japan,104.0747
1998-01-01,France,98.39525
1990-01-01,Spain,101.6943
1976-01-01,Czech Republic,
1979-01-01,Spain,99.6634
1998-01-01,Brazil,100.9717
2004-01-01,Belgium,99.07388
2010-01-01,Portugal,96.3159
1998-01-01,Netherlands,99.80189
1975-01-01,Belgium,100.9199
2005-01-01,Turkey,102.4335
1991-01-01,Finland,97.8939
1975-01-01,People's Republic of China.: Mainland,
1967-01-01,Luxembourg,
1989-01-01,Norway,99.52873
2002-01-01,Poland,97.70787
2003-01-01,Chile,98.81723
1982-01-01,Portugal,101.7207
1973-01-01,Mexico,
1982-01-01,United States,99.9794
2013-01-01,Russia,102.7849
1960-01-01,Luxembourg,
1960-01-01,Australia,
1972-01-01,Luxembourg,
2012-01-01,Norway,100.4731
2010-01-01,Germany,94.56329
1991-01-01,Hungary,
1991-01-01,Denmark,100.0396
1965-01-01,United Kingdom,101.4818
2002-01-01,United Kingdom,100.6619
1969-01-01,Italy,99.07276
1973-01-01,Greece,
1973-01-01,Czech Republic,
1999-01-01,India,99.36444
2009-01-01,Estonia,103.923
1957-01-01,Sweden,
2005-01-01,South Africa,98.60741
2001-01-01,Portugal,100.8697
1966-01-01,South Africa,
1986-01-01,Sweden,100.1833
1996-01-01,India,100.8477
